import_row_id,screening_title,description,legacy_credit_text,film_runtime,print_source,permission,location,date,datetime_one,datetime_two
event_90011,New German Cinema: The Films of Rosa Von Praunheim (3) — Two West Coast Premieres! Rosa Von Praunheim In Person! Presented in Association with the San Francisco Goethe Institute. In Wheeler Auditorium! $2.50,"A drama of homosexual relationships, this film is as militant as the title suggests, and gained great noterity for Von Praunheim in the New German Cinema that was emerging with force on the world scene in 1971. Von Praunheim has stated: “The film should activate homosexuals, challenge them to overcome their excessive fear and fight for their rights themselves. The world of the narrow-minded is not any cleaner than that of the queers, and the queers have all the more right to be as queer as they want. . . . We did not want to make an untruthful, adapted film which shows the homosexuals as a generally manly, adroit, clean fellow who has been living together with his friend happily and inconspicuously for 30 years. Liberals and queers would certainly not have longed for a film which beds the ‘normals’ for tolerance with a longing, inhibited, homosexual look. . . . The film has been made by homosexuals for homosexuals, but it should not be shown only in homosexual clubs in secret, but with every good right, on television for example.” 
Written and Directed by Rosa Von Praunheim. With Bernd Feuerhelm, Beryt Bohlen, Ernest Kuchling. (1971, 65 mins, Color, English version) 
Preceded by Introduction Film for “It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives” 
(1971, 12 mins, Color, English) 
*question period*

Underground and Emigrants
Made for the 1976 Berliner Festwochen, which was devoted to all aspects of the contemporary New York City art scene, Underground and Emigrants is a highly personal documentary report on the life-styles and creative activities of various German artists living in New York. Included in Von Praunheim’s first-person narrative are Lotte Lenya, Kurt Joos, Greta Keller. Grete Mosheim, Lil Picard, Lotte Jacobi, Alfred Eisenstaedt, Ernst Haas, Herbert Berghoff and Marlene Dietrich. 
(1976, 90 mins, Color, English Narration) ","(1971, 12 mins, Color, English)",12,,,Wheeler Auditorium,1977-03-02,1977-03-02T19:30,
event_90012,New German Cinema: The Films of Rosa Von Praunheim (3) — Two West Coast Premieres! Rosa Von Praunheim In Person! Presented in Association with the San Francisco Goethe Institute. In Wheeler Auditorium! $2.50,"A drama of homosexual relationships, this film is as militant as the title suggests, and gained great noterity for Von Praunheim in the New German Cinema that was emerging with force on the world scene in 1971. Von Praunheim has stated: “The film should activate homosexuals, challenge them to overcome their excessive fear and fight for their rights themselves. The world of the narrow-minded is not any cleaner than that of the queers, and the queers have all the more right to be as queer as they want. . . . We did not want to make an untruthful, adapted film which shows the homosexuals as a generally manly, adroit, clean fellow who has been living together with his friend happily and inconspicuously for 30 years. Liberals and queers would certainly not have longed for a film which beds the ‘normals’ for tolerance with a longing, inhibited, homosexual look. . . . The film has been made by homosexuals for homosexuals, but it should not be shown only in homosexual clubs in secret, but with every good right, on television for example.” 
Written and Directed by Rosa Von Praunheim. With Bernd Feuerhelm, Beryt Bohlen, Ernest Kuchling. (1971, 65 mins, Color, English version) 
Preceded by Introduction Film for “It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives” 
(1971, 12 mins, Color, English) 
*question period*

Underground and Emigrants
Made for the 1976 Berliner Festwochen, which was devoted to all aspects of the contemporary New York City art scene, Underground and Emigrants is a highly personal documentary report on the life-styles and creative activities of various German artists living in New York. Included in Von Praunheim’s first-person narrative are Lotte Lenya, Kurt Joos, Greta Keller. Grete Mosheim, Lil Picard, Lotte Jacobi, Alfred Eisenstaedt, Ernst Haas, Herbert Berghoff and Marlene Dietrich. 
(1976, 90 mins, Color, English Narration) ","(1976, 90 mins, Color, English Narration) ",90,,,PFA Theater,1977-03-02,1977-03-02T19:30,
event_90013,"New German Cinema: The Films of Rosa Von Praunheim (4) — Rosa Von Praunheim In Person, Presented in Association with the San Francisco Goethe Institute","At this writing, we have no information on this Von Praunheim feature, except that it was made for German TV; was shot in Glasgow, New York, Calcutta, Tokyo, Hong Kong, Bali, Singapore, Hawaii, and Mexico City; and features Fritz Mikesch, Mr. World, Taylor Mead, Tally Brown, and Noini Git Git. 
(1971, Color, 70 mins, In English and other languages) ","(1971, Color, 70 mins, In English and other languages)",70,,,PFA Theater,1977-03-03,1977-03-03T19:30,
event_90014,"New German Cinema: The Films of Rosa Von Praunheim (4) — Rosa Von Praunheim In Person, Presented in Association with the San Francisco Goethe Institute","Von Praunheim’s brand-new feature deals with the well-known German singer Evelyn Kunneke, whose “engagement” to the much younger homosexual film artist Rosa Von Praunheim is but the latest chapter in her “scandalous life story.” According to Von Praunheim: “At twelve Evelyn accidentally lost her virginity in the ballet, at thirteen she was raped. At fifteen she had a child by an American Jew. The power of her bosom kept the SS people from her Jewish grandmother. After the war she was raped by some Russians because of the lesser evil. According to her own report she slept with all the directors and the camera men. Her vamp and sex image remains for her a strong, personal means of expression, that she, like Mae West, would like to retain into advanced age.” (1976, 90 mins, Color, English Titles)","(1976, 90 mins, Color, English Titles) ",90,,,PFA Theater,1977-03-03,1977-03-03T21:00,
event_90015,"New German Cinema: The Films of Rosa Von Praunheim (5) — Rosa Von Praunheim In Person, Presented in Association with the San Francisco Goethe Institute; Three Short Films $1.00 ","Axel Von Auersberg: A kitsch melodrama about “fateful and passionate love” set in a Middle Ages convent, this film was produced by German TV and after a storm of controversy, was finally shown with 30 mintues deleted. One of the reasons for the trouble was Evelyn Kunneke’s return to the screen, playing the role of a bishop. Based on a drama by Billiers de I’Isle Adam. With Vincent Kluwe, Gundula Von Woyna, Peggy Von Sschnotgenberg. (1974, 25 mins, color, 35mm, in German with English synopsis)

Monolog of a Star: A housewife from Kiel plays a great movie star in this variation on the Marilyn Monroe-Jayne Mansfield-Candy Darling story. With Millie Buttner, Evelyn Kunneke, Mr. Frankfurt. (1974, 40 mins, color, in German with English synopsis)

Rosa Von Praunheim Zeigt: With Evelyn Kunneke. (1974, 20 mins, color, in German with English synopsis)","(1974, 25 mins, color, 35mm, in German with English synopsis)",25,,,PFA Theater,1977-03-04,1977-03-04T17:00,
event_90016,"New German Cinema: The Films of Rosa Von Praunheim (5) — Rosa Von Praunheim In Person, Presented in Association with the San Francisco Goethe Institute; Three Short Films $1.00 ","Axel Von Auersberg: A kitsch melodrama about “fateful and passionate love” set in a Middle Ages convent, this film was produced by German TV and after a storm of controversy, was finally shown with 30 mintues deleted. One of the reasons for the trouble was Evelyn Kunneke’s return to the screen, playing the role of a bishop. Based on a drama by Billiers de I’Isle Adam. With Vincent Kluwe, Gundula Von Woyna, Peggy Von Sschnotgenberg. (1974, 25 mins, color, 35mm, in German with English synopsis)

Monolog of a Star: A housewife from Kiel plays a great movie star in this variation on the Marilyn Monroe-Jayne Mansfield-Candy Darling story. With Millie Buttner, Evelyn Kunneke, Mr. Frankfurt. (1974, 40 mins, color, in German with English synopsis)

Rosa Von Praunheim Zeigt: With Evelyn Kunneke. (1974, 20 mins, color, in German with English synopsis)","(1974, 40 mins, color, in German with English synopsis)",40,,,PFA Theater,1977-03-04,1977-03-04T17:00,
event_90017,"New German Cinema: The Films of Rosa Von Praunheim (5) — Rosa Von Praunheim In Person, Presented in Association with the San Francisco Goethe Institute; Three Short Films $1.00 ","Axel Von Auersberg: A kitsch melodrama about “fateful and passionate love” set in a Middle Ages convent, this film was produced by German TV and after a storm of controversy, was finally shown with 30 mintues deleted. One of the reasons for the trouble was Evelyn Kunneke’s return to the screen, playing the role of a bishop. Based on a drama by Billiers de I’Isle Adam. With Vincent Kluwe, Gundula Von Woyna, Peggy Von Sschnotgenberg. (1974, 25 mins, color, 35mm, in German with English synopsis)

Monolog of a Star: A housewife from Kiel plays a great movie star in this variation on the Marilyn Monroe-Jayne Mansfield-Candy Darling story. With Millie Buttner, Evelyn Kunneke, Mr. Frankfurt. (1974, 40 mins, color, in German with English synopsis)

Rosa Von Praunheim Zeigt: With Evelyn Kunneke. (1974, 20 mins, color, in German with English synopsis)","(1974, 20 mins, color, in German with English synopsis)",20,,,PFA Theater,1977-03-04,1977-03-04T17:00,
event_90018,Centennial Celebration of Hermann Hesse’s Birth (1) Presented in Association with the Committee for Arts and Lectures and the Departments of German,"Professor Joseph Mileck of the German Department will introduce the 7:30 showing of the first film adaptation of a Hesse novel. 
Directed by Conrad Rooks. Photographed by Sven Nykvist. With Shashi Kapoor, Simi Garewal. (1972, 86 mins, 35mm, print courtesy Swank Motion Pictures) 
Plus short, About A Tapestry. 
A nine-minute color short by Isa Hesse about the color tapestry by Maria Gerio which hung in Hesse’s study. (Print courtesy of New Yorker Films) ","Directed by Conrad Rooks. Photographed by Sven Nykvist. With Shashi Kapoor, Simi Garewal. (1972, 86 mins, 35mm, print courtesy Swank Motion Pictures) ",86,Swank Motion Pictures,,PFA Theater,1977-03-04,1977-03-04T19:30,1977-03-04T21:30
event_90019,Centennial Celebration of Hermann Hesse’s Birth (1) Presented in Association with the Committee for Arts and Lectures and the Departments of German,"Professor Joseph Mileck of the German Department will introduce the 7:30 showing of the first film adaptation of a Hesse novel. 
Directed by Conrad Rooks. Photographed by Sven Nykvist. With Shashi Kapoor, Simi Garewal. (1972, 86 mins, 35mm, print courtesy Swank Motion Pictures) 
Plus short, About A Tapestry. 
A nine-minute color short by Isa Hesse about the color tapestry by Maria Gerio which hung in Hesse’s study. (Print courtesy of New Yorker Films)",(Print courtesy of New Yorker Films),,New Yorker Films,,PFA Theater,1977-03-04,1977-03-04T19:30,1977-03-04T21:30
event_90020,Films on 20th Century Sculpture,"American Sculpture of the Sixties (1967–68, 19 mins, color, print courtesy of VRI). A film by Jules Engel about the works of 33 American sculptors represented in the history-making exhibition at the Los Angeles County Museum of Art. 
Works of Calder (1950, 20 mins, color, print courtesy of Museum of Modern Art). Produced and narrated by Burgess Meredith. Music by John Cage. Narration by Jean Latouche. 
Isamu Noguchi (1972, 28 mins, color, print courtesy of Blackwood Prod.) The film reviews four decades of Noguchi’s work, shows the artist his studio and visiting the sites of his projects, and closes with his recent sculpture retrospective at the Whitney Museum. ","(1967–68, 19 mins, color, print courtesy of VRI)",19,VRI,,PFA Theater,1977-03-05,1977-03-05T13:30,1977-03-05T15:00
event_90021,Films on 20th Century Sculpture,"American Sculpture of the Sixties (1967–68, 19 mins, color, print courtesy of VRI). A film by Jules Engel about the works of 33 American sculptors represented in the history-making exhibition at the Los Angeles County Museum of Art. 
Works of Calder (1950, 20 mins, color, print courtesy of Museum of Modern Art). Produced and narrated by Burgess Meredith. Music by John Cage. Narration by Jean Latouche. 
Isamu Noguchi (1972, 28 mins, color, print courtesy of Blackwood Prod.) The film reviews four decades of Noguchi’s work, shows the artist his studio and visiting the sites of his projects, and closes with his recent sculpture retrospective at the Whitney Museum. ","(1950, 20 mins, color, print courtesy of Museum of Modern Art). Produced and narrated by Burgess Meredith. Music by John Cage. Narration by Jean Latouche. ",20,Museum of Modern Art,,PFA Theater,1977-03-05,1977-03-05T13:30,1977-03-05T15:00
event_90022,Films on 20th Century Sculpture,"American Sculpture of the Sixties (1967–68, 19 mins, color, print courtesy of VRI). A film by Jules Engel about the works of 33 American sculptors represented in the history-making exhibition at the Los Angeles County Museum of Art. 
Works of Calder (1950, 20 mins, color, print courtesy of Museum of Modern Art). Produced and narrated by Burgess Meredith. Music by John Cage. Narration by Jean Latouche. 
Isamu Noguchi (1972, 28 mins, color, print courtesy of Blackwood Prod.) The film reviews four decades of Noguchi’s work, shows the artist his studio and visiting the sites of his projects, and closes with his recent sculpture retrospective at the Whitney Museum. ","(1972, 28 mins, color, print courtesy of Blackwood Prod.)",28,Blackwood Prod.,,PFA Theater,1977-03-05,1977-03-05T13:30,1977-03-05T15:00
event_90023,Two Documentaries Produced by Jerry Seltzer: Jerry Seltzer In Person,"First Position was featured at the 1972 San Francisco Film Festival, where it warranted this notice by Albert Johnson: “A stunning documentary about the daily lives of several students at the American Ballet Theatre School in New York. It is not acted, and how William Reichert, the director, managed to get people to behave so unaffectedly before the camera is a total miracle. There has never been such an honest film about dancers-in-training before, and one is surprised at how untouched this absorbing milieu has been in cinema history. The film concentrates on four students, but one gets glimpses of such star-types as Nureyev, but in the role of student rather than god. There is also a suggested parallel between the major figures and a costume rehearsal of “Petrouchka,” with Michael Smuin, Diana Weber and Keith Lee.” 
Produced by Jerry Seltzer. Directed by William Reichert. (1972, 90 mins, 35mm, color, print courtesy of Jerry Seltzer)","Produced by Jerry Seltzer. Directed by William Reichert. (1972, 90 mins, 35mm, color, print courtesy of Jerry Seltzer)",90,Jerry Seltzer,,PFA Theater,1977-03-05,1977-03-05T16:30,1977-03-05T19:50
event_90024,Two Documentaries Produced by Jerry Seltzer: Jerry Seltzer In Person,"This outstanding cinema-verite slice of American life has been too quickly forgotten, after gaining much praise and notoriety after its New York release in 1971. Photographed and Directed by Robert Kaylor, and featuring Charlie O'Connell, Mike Snell, and the stars of the Roller Derby, Derby was described by Albert Johnson in these terms: 
“A sociological document about the world of roller derby people, both participants and fans. Kaylor obviously started out to do a straightforward film about the stars and audience hysteria, but suddenly came upon an atypical American youth in Dayton, Ohio, who has only one ambition: to become a Roller Derby star. An entire picture of a section of middle-class American springs to life, and tremendous humor and pathos are involved in these observances and interviews—all intercut with the track races, spills and fights that make roller derbies such a phenomenon. It is indeed extraordinary that there is a microcosm of American youth with dreams of ball-bearing heroism in their eyes.”
Produced by Jerry Seltzer, Mike Hamilburg, and Bill Reichert. (1971, 90 mins, color, 35mm, print courtesy of Jerry Seltzer)
Please note: Jerry Seltzer will appear at the 7:50 and 9:45 showings. Advance tickets for First Position and Derby are available at all BASS outlets. ","Produced by Jerry Seltzer, Mike Hamilburg, and Bill Reichert. (1971, 90 mins, color, 35mm, print courtesy of Jerry Seltzer)",90,Jerry Seltzer,,PFA Theater,1977-03-05,1977-03-05T18:10,1977-03-05T21:45
event_90025,"Program Selection by Phillip Lopate
$1.50 adults/$1.00 children 
","According to Pauline Kael, “The high point in Elizabeth Taylor’s acting career came when she was twelve: under Clarence Brown’s directions the heroine of Enid Bagnold’s account of a little girl’s sublime folly . . . [National Velvet] touches areas in our experience that movies rarely touch—the passions and obsessions of childhood. It’s one of the most likeable films of all time.”
Directed by Clarence Brown. With Elizabeth Taylor, Anne Revere, Mickey Rooney, Angela Lansbury, Arthur Treacher. (1945, 123 mins, color, print courtesy of Films Inc.) ","Directed by Clarence Brown. With Elizabeth Taylor, Anne Revere, Mickey Rooney, Angela Lansbury, Arthur Treacher. (1945, 123 mins, color, print courtesy of Films Inc.) ",123,Films Inc.,,PFA Theater,1977-03-06,1977-03-06T14:00,
event_90026,"Two Films by Jacques Demy
","After the success of Umbrellas of Cherbourg, Jacques Demy attempted a much more ambitious musical film. In fact, in The Young Girls of Rochefort, he attempted nothing less than a full-scale revival of the all-star MGM singing-and-dancing musical of the fifties. Set in the French seaside town of Rochefort—repainted to look more like a set than a real location—The Young Girls of Rochefort is always entertaining to watch, and at moments it does create true movie magic out music, delicate romance, and incredibly attractive star-actors. Although the choreography is uninspired at times, the film is much better than most American critics held it when it was released in 1967. Michel Legrand’s music is just right for Demy’s artfully naive screenplay, and the actors are all charming, even when they are not fully credible (Gene Kelly). Andrew Sarris put his finger on it when he wrote: “With all that is wrong with The Young Girls of Rochefort, it is amazing how much pleasure it provides. I have enormous respect for Demy’s effort simply because it is so much easier to make a cosmic statement full of open-ended ambiguities than to turn out a reasonably entertaining musical.”
With Gene Kelly, Catherine Deneuve, Francoise Dorleac, Michel Piccoli, George Chakiris, Danielle Darrieux, Jacques Perri. (1967, 126 mins, 35mm, color, English subtitle, print courtesy of Warner Bros.) ","With Gene Kelly, Catherine Deneuve, Francoise Dorleac, Michel Piccoli, George Chakiris, Danielle Darrieux, Jacques Perri. (1967, 126 mins, 35mm, color, English subtitle, print courtesy of Warner Bros.)",126,Warner Bros.,,PFA Theater,1977-03-06,1977-03-06T16:30,1977-03-06T20:25
