exhibitionNumber,exhibitionTitle,Link to bampfa.org exhibition record,artistsAdditional,artistList,exhibitionDates,Location,bampfaCurator,outsideOrganizer,supplementaryProgramsEtc,catalogExists,brochureExists,didTour,Works from Collection? XX = list of 500,onListof500priorityWorks,isPriorityForWebsite
11,R. B. Kitaj,,,R. B. Kitaj,"October 6-November 12, 1967",Worth Ryder Gallery,Peter Selz,,,Catalog,,,x,,
12,Faculty Show: University of California (Berkeley) Art Department,,,,"November 20-December 31, 1967",Powerhouse Gallery,Staff,,,Catalog,,,,,
13,Nolde: The 'Unpainted' Pictures,,,Emile Nolde,"November 27-December 21, 1967",Worth Ryder Gallery,Staff,"The Nolde Foundation, Seebull",,,,,,,
14,Sam Francis,,,Sam Francis,"January 15-February 18, 1968",Powerhouse Gallery,Staff,"Museum of Fine Arts, Houston",,,,,x,,
15,New British Painting and Sculpture,,,,"March 4-April 7, 1968",Powerhouse Gallery,Staff,"Whitechapel Gallery, London",,,,,,,
16,Eduardo Paolozzi: A Print Retrospective,,,Eduardo Paolozzi,"April 1-21, 1968",Worth Ryder Gallery,Staff,"Editions Alecto, London",,Catalog,,,x,,
17,Master Drawings from California Collections,,,,"April 29-July 14, 1968",Powerhouse Gallery,Staff,Professor Juergen Schulz and seminar,,Catalog,,,,,
18,Rico Lebrun,,,Rico Lebrun,"June 17-July 14, 1968",Powerhouse Gallery,Staff,Los Angeles County Museum of Art,,,,,,,
19,Selection 1968: Recent Accessions to the University Art Collections,,,,"August 6-September 15, 1968",Powerhouse Gallery,Staff,,,Catalog,,,,,
20,Hundertwasser,,,,"October 8-November 10, 1968",Powerhouse Gallery,Staff,Professor Herschel B. Chipp and Brenda Richardson,,Catalog,,,,,
21,The Art of Tomioka Tessai,,,Tomioka Tessai,"November 25-December 29, 1968",Powerhouse Gallery,Staff,"International Exhibitions Foundation, Washington, D. C. ",,,,,,,
22,Air Art,,,,"January 14-February 16, 1969",Powerhouse Gallery,Staff,"Kineticism Press, New York",,,,,,,
23,The Drawings of Eric Mendelsohn,,,Erich Mendelsohn,"March 5-April 13, 1969",Powerhouse Gallery,Susan King,,,Catalog,,,,,
24,Look Back: Cubist Works From the De Menil Family Collection,,,,"April 29-June 2, 1969",Powerhouse Gallery,Staff,Rice University,,,,,,,
25,Richard Linder,,,Richard Linder,"June 17-July 27, 1969",Powerhouse Gallery,Peter Selz,"With Leverkusen City Museum, Germany",,Catalog,,,,,
26,De Kooning: Recent Works,,,Willem De Kooning,"August 12-September 14, 1969",Powerhouse Gallery,Peter Selz,"With M. Knoedler & Co., New York",,,,,,,
27,Moholy-Nagy,,,László Moholy-Nagy,"October 6-November 2, 1969",Powerhouse Gallery,Staff,"Museum of Contemporary Art, Chicago",,,,,x,,
28,Dutch Masters from the Metropolitan,,,,"November 29, 1969-January 4, 1970",Powerhouse Gallery,Staff,"The Metropolitan Museum of Art, New York",,,,,,,
29,Human Concern/ Personal Torment,,,,"January 20-March 1, 1970",Powerhouse Gallery,Staff,Whitney Museum of American Art,,,,,,,
30,The Eighties,,"Wayne E. Campbell;Alvin Duskin;Marsha Fox;William Duval;John C. Fernie,Terry Fox;Howard Fried;Tyrus Gerlach;Jay Heminway;Mel Henderson;Kent Hodgetts;Henry Jacobs;Warner Jepson;Robert Kinmont;Paul Kos;Stephen Laub;Jim Melchert;Manuel Neri;William T. Wiley;Alfred Young;plus anonymous;group projects","Wayne E. Campbell;Alvin Duskin;Marsha Fox;William Duval;John C. Fernie,Terry Fox;Howard Fried;Tyrus Gerlach;Jay Heminway;Mel Henderson;Kent Hodgetts;Henry Jacobs;Warner Jepson;Robert Kinmont;Paul Kos;Stephen Laub;Jim Melchert;Manuel Neri;William T. Wiley;Alfred Young;plus anonymous;group projects","March 17-April 12, 1970",Powerhouse Gallery,"Susan Rannells, Brenda Richardson",,,Catalog,,,,,x
31,Pol Bury,,,Pol Bury,May-June 1970,Powerhouse Gallery,Peter Selz,,,Catalog,,,x,,
32,Arnaldo Pomodoro,,,Arnaldo Pomodoro,May-June 1970,"Powerhouse Gallery, Faculty Glade",Staff,Tom L. Freudenheim,,Catalog,,,x,,
33,The Reality of Appearance,,,Henry Alexander;Adolphe Braun;Jefferson David Chalfant;Voltaire Combe;George Cope;F. Danton Jr.;William M. Davis;Joseph Decker;Victor Dubreuil;Edwin Romanzo Elmer;John F. Francis;Edward A. Goodes;Richard LaBarre Goodwin;John Haberle;S. E. Harlow;William Michael Harnett;Martin Johnson Heade;Claude Taguet Hirst;Raphaelle Peale;Rubens Peale;John Frederick Peto;Alexander Pope;Milne Ramsey;Severin Roesen;William Henry Yates,"July 15-August 31, 1970",Powerhouse Gallery,Staff,Alfred Frankenstein,,Catalog,,,,,
34,Excellence: Art from the University Community,,,,"November 16,  1970 – January 10, 1971",Museum (entire building),Peter Selz,,,Catalog,,,,,
35,Rube Goldberg,,,Rube Goldberg,"January 19-February 28, 1971",Gallery 1,Staff,"Henry Okun, with The Bancroft Library",,Catalog,,,,,
36,War Game: Callot and Della Bella Prints,,,,"January 19-February 14, 1971",Theater Gallery,Staff,"Smithsonian Institution, Washington, D. C. ",,,,,,,
37,Pan's Pipes,,,,"February 1-28, 1971",Gallery D,Brenda Richardson,,,,,,,,
38,Modern French Book Illustration,,,,"March 2-28, 1971",Theater Gallery,Staff,"French Cultural Service, San Francisco",,,,,,,
39,Portraits of Artists in Prints,,,,"March 4-28, 1971",Gallery D,Staff,R. E. Lewis and Seminar,,,,,,,
40,Soleri,,,Paolo Soleri,"March 9-May 9, 1971","Galleries 1, 2, Terrace B",Staff,"Corcoran Gallery of Art, Washington, D. C. ",,,,,,,
41,Some Came to Watch: Oil Spill Photographs by David Bellak,,,David Bellak,"March 9-April 18, 1971",Theater Gallery,Staff,,,,,,,,
42,H. C. Westermann: Recent Work,,,H. C. Westermann,"April 6-May 16, 1971",Gallery D,Brenda Richardson ,"With Allan Frumkin Gallery, New York",,,,,,,
43,Contemporary Japanese Art,,,,"May 25-June 27, 1971","Galleries 1, 2",Staff,"The Solomon R. Guggenheim Museum, New York",,,,,,,
44,Fangor,,,Wojciech Fangor,"July 6-August 22, 1971","Galleries 1, 2, Terrace B",Staff,"The Solomon R. Guggenheim Museum, New York",,,,,,,
45,Takeshi Yamamoto: Ink to Paper,,,Takeshi Yamamoto,"June 30-August 1, 1971",Gallery D,Brenda Richardson,,,,,,,,
46,European War Posters 1914-1918 [and] U.S. World War I Posters,,,,"July 28-August 22, 1971",Theater Gallery,Staff,"Smithsonian Institution, Washington, D. C. ",,,,,,,
47,Robert Hudson: The Star Show,,,Robert Hudson,"August 4-29, 1971",Theater Gallery,Staff,,,,,Tour: Smithsonian,,,
48,Four Quilts by Seventy Women,,,,"September 1-October 10, 1971",Gallery D,Brenda Richardson,,,,,,,,
49,William T. Wiley,,William T. Wiley,William T. Wiley,"September 15-October 24, 1971","Galleries 1, 2",Brenda Richardson,,,Catalog,,,x,,x
50,The Television Environment,,,,"October 8-31, 1971",Theater Level Print Room,John Margolies,,,,,,,,
51,Max Klinger Graphics,,,Max Klinger,"October 20-November 14, 1971",Gallery D,Staff,Wichita Art Museum ,,,,,,,
52,Romare Bearden ,,,Romare Bearden ,"October 27-December 5, 1971",Gallery B,Staff,"The Museum of Modern Art, New York",,,,,,,
53,The Restless Landscape: Chinese Painting of the Late Ming Period,,"Chang Fu, Chang Hung, Chang Jui-t'u, Chao Tso, Ch'en Ch'uan, Ch'en Huan, Ch'en Hung-shou, Ch'en Kuan, Cheng Chung, Ch'eng I, Chiang Hung, Fang I-chih, Hsiang Sheng-mp, Hsieh Pin, Hsu Wei, Hu Yu-k'un, Kao Yang, Ku I-te, Ku Ning-yuan, Ku T'ien-chih, Lan Ying, Li Liu-fang, Li Shih-ta, Liu Tu, Mi Wan-chung, Mo Shih-lung, Pien Wen-yu, Shao Mi, Shen Shih-ch'ung, Sheng Mao-yeh, Sung Hsu, Sung Mou-chin, Tai Ming-yueh, Ting Yun-p'eng, Tseng Ch'ing, Tsou Chih-lin, Ts'ui Tzu-chung, Tung Ch'i-ch'ang, Yang Wen-ts'ung, Yuan Shang-t'ung, Yun Hsiang, Wang Chien-chang, Wang Shih-min, Wang To, Wu Cho, Wu Pin",,"November 10,  1971 – January 2, 1972","Galleries 2, 3",Staff,Professor James Cahill and seminar,,Catalog,,,,,x
54,New Acquisitions and Promised Gifts,,,,"November 17-December 22, 1971","Gallery 1, Terraces A, D",Peter Selz,,,,,,,,
56,"Executive Order 9066: The Internment of 115,000 Japanese Americans",,,,"January 5-February 13, 1972",Gallery B,Staff,"California Historical Society, San Francisco",,,,,,,
57,The Roots of the Bay Region Shingle Style,,,A. Page Brown;Ernest Coxhead;John Galen Howard;Bernard Ralph Maybeck;Julia Morgan;A. C. Schweinfurth;Joseph Worcestor,"January 12-February 20, 1972",Theater Gallery,Staff,Leslie Freudenheim and Elisabeth Sussman,,,,,,,
58,Bay Area Underground: A Group Show,,,John Buck;Stephen A. Davis;Chris Nelson;James Pomeroy;Ursula Schneider;Ann Shapiro;Linda Trauth;Norton Wisdom,"January 19-February 20, 1972",Gallery 2,Brenda Richardson ,,,,,,,,
59,California Works on Paper: 1950-1971,,,William Allan;John Altoon;Ruth Armer;Jeremy Anderson;Jerrold Ballaine;Elmer Bischoff;Bruce Conner;Roy De Forest;Richard Diebenkorn;Sam Francis;Patrick Humble;Robert Johnson;Riclo Lebrun;Fred Martin;Arthur Okamura;Nathan Oliveira;Manuel Neri;Harold Paris;Fritz Raugh;Sam Richardson;Ed Ruscha;Nell Sinton;Charles Strong;Wayne Thiebaud;William T. Wiley;Paul Wonner,"January 26-March 26, 1972",Theater Level Print Room,Joseph R. Goldyne,,,,,,,,
60,Abstract Expressionism from the Museum Collection,,,,"January 26-April 30, 1972",Gallery 5,Peter Selz,,,,,,x,,
61,Claes Oldenburg: Object and Monument,,,Claes Oldenburg,"March 1-April 9, 1972","Gallery 1, Terrace B",Staff,Pasadena Art Museum,,,,,,,
62,Bellocq: Storyville Portraits,,,E. J. Bellocq;Lee Friedlander,"March 1-14, 1972",Gallery D,Staff,"The Museum of Modern Art, New York",,,,,,,
63,The Scholar Painters of Japan: The Nanga School,,,,"April 5-30, 1972","Galleries 2, 3",Staff,"Asia House, New York",,Catalog,,,,,
64,Architectural Abstractions by Stan Ries,,,Stan Ries,"April 12-May 14, 1972",Theater Gallery,Joy Feinberg,,,,,,,,
65,Harold Paris: The California Years,,,Harold Paris,"April 26-June 11, 1972","Gallery 1, Terraces A, B, Lobby",Peter Selz,,,Catalog,,,,,
66,Master Drawings: Material and Methods,,,,"May 3-June 18, 1972",Gallery D,Joseph R. Goldyne,,,,,,,,
67,Eight New York Painters,,,Jake Berthot;Chuck Close;Alan Cote;David Diao;Nancy Graves;Brice Marden;Alan Shields;Joan Snyder,"May 10-June 25, 1972",Gallery 5,Brenda Richardson ,,,,,,,,
68,M. F. A. Candidates from Berkeley,,,,"May 17-June 4, 1972",Gallery 2,Staff,,,,,,,,
69,Art of the Chinese Cultural Revolution,,,,"June 7-July 16, 1972",Gallery 2,Staff,"Art Department, Berkeley",,,,,,,
70,The Hand and the Spirit: Religious Art in America 1700-1900,,,,"June 28-August 27, 1972","Galleries 1, 2, Terrace B",Jane Dillenberger,,,Catalog,,,,,
71,Victor Moscoso's KSAN Bus Poster,,,Victor Moscoso,"August 2-September 10, 1972",Theater Gallery,Staff,Walter Medeiros,,,,,,,
72,Cherie Raciti,,,Cherie Raciti,"September 6-24, 1972",Gallery D,Brenda Richardson,,,,,,,,
73,The Sculpture of Matisse,,,Henri Matisse,"September 20-October 29, 1972","Galleries 1, 2",Staff,"The Museum of Modern Art, New York",,,,,,,
74,Festival of Bay Area Women in the Arts,,,,"October 1-15, 1972",Gallery B,"Lois Freeman, Brenda Richardson",,,,,,,,
75,Janis Proviser and Cornelia Schulz,,,Janis Proviser;Cornelia Schulz,"October 4-22, 1972",Gallery D,Brenda Richardson,,,,,,,,
76,The Films of Michael Snow and Joyce Wieland,,,Michael Snow;Joyce Wieland,"October 25-December 6, 1972",Theater Gallery,Staff,Tom Luddy and Brenda Richardson,,,,,,,
77,Lynn Hershman,,,Lynn Hershman Leeson,"November 8-26, 1972",Gallery D,Peter Selz,,,,,,,,
78,Ferdinand Hodler,,,Ferdinand Hodler,"November 22, 1972 -January 7, 1973","Galleries 1, 2, Terrace B","Peter Selz, Eva Wyler",,,Catalog,,,,,
79,Toy-Making Festival,,,,"November 29-December 30, 1972",Gallery D,Madelaine Shellaby,,,,,,,,
81,Barbara Chase-Riboud,,,Barbara Chase-Riboud,"January 17-February 25, 1973",Gallery D,Peter Selz,"With Betty Parsons Gallery, New York",,Catalog,,,,,
82,Oriental Carpets from Western Collections,,,,"January 24-February 25, 1973",Gallery B,Staff,Emmett and Murray Eiland,,,,,,,
83,Recent Acquisitions,,,,"January 31-March 4, 1973","Galleries 1, 2, Lobby, Theater Gallery",Staff,,,,,,,,
84,Oceanic Art from the Lowie Museum,,,,"February 17-August 5, 1973",Gallery C,Staff,,,,,,,,
85,"Fritz Scholder: ""Indians Forever""",,,,"March 7-April 15, 1973",Theater Gallery,Staff,,,,,,,,
86,"The Third Rome, 1870-1950: Traffic and Glory",,,,"March 28-May 13, 1973","Gallery 1, Terrace B",Staff,"Spiro Kostof, Seminar",,Catalog,,,,,
87,Roman Art in West Coast Collections,,,,"March 28-May 13, 1973",Gallery 2,Staff,"The Art Galleries, University of California, Santa Barbara",,,,,,,
88,Architectural Drawings,,,,"April 25-May 27, 1973",Gallery D,Staff,Sally Woodbridge,,,,,,,
89,M. F. A. Candidates from Berkeley (first half),,,,"May 30-June 17, 1973",Gallery 1,Staff,,,,,,,,
90,M. F. A. Candidates from Berkeley (second half),,,,"June 6-24, 1973",Gallery 2,Staff,,,,,,,,
91,Japanese Woodblock Prints from the Museum Collection,,,,"June 13-July 29, 1973",Gallery D,Staff,Roger Keyes and Seminar,,,,,,,
92,Market Street Program,,,,"July 11-September 2, 1973",Gallery 2,Joshua Young,,,,,,,,
93,Joseph Raffael: Water Paintings,,,Joseph Raffael,"July 18-September 16, 1973",Gallery 1,Brenda Richardson,,,Catalog,,,,,
94,French Prints and Drawings from the Museum Collection,,,,"August 10-September 30, 1973",Theater Gallery,Brenda Richardson,,,,,,x,,
95,Terry Fox ,,Terry Fox,Terry Fox ,"September 5-October 21, 1973","Gallery C, D",Brenda Richardson,,,Catalog,,,,,x
96,Stephen Laub: Bodies of Water,,,Stephen Laub,"September 12-October 14, 1973",Lobby,Brenda Richardson,,,,,,,,
97,Art by 35 Women from the Museum Collection,,,,"September 19-November 11, 1973",Gallery 2,Peter Selz,,,,,,,,
98,Japanese Paintings from the Collection of George J. Schlenker,,,,"September 26-December 9, 1973",Gallery 3,Staff,Professor James Cahill,,Catalog,,,,,
99,Don Potts: My First Car,,,Don Potts,"September 26-October 28, 1973",Gallery B,Staff,Newport Harbor Art Museum,,,,,,,
100,Arnold Newman,,,Arnold Newman,"October 3-November 4, 1973",Theater Gallery,Staff,International Museum of Photography,,,,,,,
101,German and Austrian Prints and Drawings from the Museum Collection,,,,"October 3-November 18, 1973",Gallery 1,Brenda Richardson,,,,,,,,
102,Kinetic Sculpture from the Collection,,,,"November 14, 1973 -January 6, 1974","Gallery C, D",Peter Selz,,,,,,x,,
103,Photographs by Cecil Beaton,,,Cecil Beaton,"November 21-December 23, 1973",Theater Gallery,Staff,"Sonnabend Gallery, New York",,,,,,,
104,Larry Fox: Photographs,,,Larry Fox,"November 28-December 30, 1973",Theater Gallery,Brenda Richardson,,,,,,,,
105,Toy-Making Festival,,,,"December 1-16, 1973",Gallery B,Madelaine Shellaby,,,,,,,,
106,Eva Hesse: A Memorial Exhibition,,,Eva Hesse,"December 12, 1973-February 3, 1974","Galleries 1, 2",Staff,"The Solomon R. Guggenheim Museum, New York",,,,,,,
107,Indian Sculpture from the Los Angeles County Museum of Art,,,,"January 2, 1974-January 2, 1974",Gallery 3,Staff,Professor Joanna Williams,,,,,,,
108,Rembrandt Van Rijn: Selected Etchings,,,Rembrandt Van Rijn,"January 9-March 24, 1974",Theater Gallery,Staff,Professor Svetlana Alpers,,,,,,,
109,Hans Hofmann: 52 Works on Paper,,,Hans Hofmann,"January 16-February 10, 1974",Gallery 6,Staff,"International Exhibitions Foundation, Washington, D. C. ",,,,,,,
110,Artists' Books,,,,"January 16-February 24, 1974",Gallery D,Staff,"Moore College, Philadelphia",,,,,,,
111,Art Nouveau Prints and Posters,,,,"January 16-27, 1974",Stairwell,Staff,Professor Herschel B. Chippaff,,,,,,,
112,William Blake: Graphic Works,,,William Blake,"February 13-March 17, 1974",Theater Gallery,Joy Feinberg,"In conjunction with English Department, UC Extension",,,,,,,
113,Joan Brown,,Joan Brown,Joan Brown,"March 6-April 21, 1974","Galleries B, D",Brenda Richardson,,,Catalog,,,,,x
114,Students of Hans Hofmann: Selections from the Museum Collection,,,,"March 27-May 12, 1974",Gallery 5,Staff,In conjunction with History of Art 286A,,,,,,,
115,Modern Prints: Goya to Beckmann,,,,"March 27-June 16, 1974",Theater Gallery,Staff,Professor David Wright and Joy Feinberg in conjunction with Interdepartmental Studies 108,,,,,,,
116,Henry Moore: The Elephant Skull Album,,,Henry Moore,"April 10-May 19, 1974",Theater Gallery,Staff,"In conjunction, History of Art 186",,,,,,,
117,3D into 2D: Drawing for Sculpture,,,,"May 8-June 23, 1974",Gallery 1,Staff,The New York Cultural Center,,,,,,,
118,M. F. A. Candidates from Berkeley,,,,"May 15-June 2, 1974",Gallery 2,Staff,,,,,,,,
119,Elyn Zimmerman,,,Elyn Zimmerman,"May 15-June 2, 1974","Gallery C, D",Brenda Richardson,,,,,,,,
120,Two Sculptors: Deborah Butterfield / Rudy Serra,,,Deborah Butterfield;Rudy Serra,"May 15—June 2, 1974",Gallery 5,Brenda Richardson,,,,,,,,
121,The Bay Area Collects: Sandra and Breck Caldwell,,,,"July 3-August 11, 1974",Gallery D,Brenda Richardson,,,,,,,,
122,Old Master and Japanese Woodblock Prints: Selections from the Museum Collection,,,,"July 10-September 1, 1974",Gallery 1,Staff,,,,,,,,
123,Brassai: The Eye of Paris,,,Brassaï,"July 17-August 11, 1974",Theater Gallery,Staff,"International Exhibitions Foundation, Washington, D.C.",,,,,,,
124,Painting in the People’s Republic of China: Heirs to the Great Tradition,,,,"August 7-October 13, 1974",Gallery 3 (front half),Staff,Ruth Anderson and Ralph Croizier,,,,,,,
125,Musical Instruments from the Lowie Museum,,,,"August 21, 1974-February 2, 1975",Gallery C,Barney Bailey,,,,,,,,
126,Mel Bochner,,,Mel Bochner,"September 3-29, 1974",Gallery D,Brenda Richardson,Mel Bochner-created installation,,,,,,,
127,G. Lee Phillips: Photographs,,,G. Lee Phillips,"September 3-October 20, 1974",Theater Gallery,Brenda Richardson,,,,,,,,
128,Children’s Art About Art,,,,"September 3-October 20, 1974",Theater Gallery,Bonnie Baskin,,,,,,,,
129,Anders Zorn: Etchings,,,Anders Zorn,"September 24-October 27, 1974",Gallery 1,Carlos Gutierrez-Solana,,,,,,,,
130,Echoes from Olympus: Reflections of Divinity in Small-scale Classical Art,,,,"October 1-November 16, 1974",Gallery 2,Staff,Professor Darrell A. Amyx and Seminar,,,,,,,
131,Japanese Painting: Permanent Collection and Extended Loans,,,,"October 23, 1974-January 5, 1975",Gallery 3,Staff,Professor James Cahill,,,,,,,
132,Study Gallery,,,,"November 5-December 1, 1974",Gallery D,Staff,Various faculty,,,,,,,
133,English Graphics of the 18th Century,,,,"November 5-December 22, 1974",Theater Gallery,Joy Feinberg,With English 107,,,,,,,
134,Master Drawings from the Museum Collection,,,,"November 12-December 29, 1974",Theater Gallery,Brenda Richardson,,,,,,,,
135,Diane Arbus,,,Diane Arbus,"November 19-December 30, 1974",Gallery 1,Staff,"Museum of Modern Art, New York",,,,,,,
136,Stephen A. Davis / Howard Fried / Steve J. Kaltenbach,,,Stephen A. Davis;Howard Fried;Steve J. Kaltenbach,"December 3, 1974-January 10, 1975",Gallery 2,Brenda Richardson,,,,,,,,
137,Picasso: The Vollard Suite,,,Pablo Picasso,"January 14-March 2, 1975",Gallery 1,Staff,The Norton Simon Foundation,,,,,,,
138,"Roger Minick: The Ozarks of Arkansas, 1968-1973",,,Roger Minick,"January 21-March 2, 1975",Theater Gallery,Carlos Gutierrez-Solana,With Roger Minick,,,,,,,
139,Academic Painting of the Ch’ing Period,,,,"January 21-March 30, 1975",Gallery 3,Staff,"Professor James Cahill, Richard Vinograd",,,,,,,
140,Robert Mangold,,,Robert Mangold,"January 21-March 2, 1975",Theater Gallery,Staff,Crown Point Press,,Catalog,,,,,
141,Italian Prints of the 16th Century (Part I),,,,"February 4-March 16, 1975",Gallery 2,Staff,Marcus Sopher,,,,,,,
142,Egyptian Jewelry from the Lowie Museum,,,,"March 4-August 31, 1975",Gallery C,Staff,Irina Barnes,,,,,,,
143,Elmer Bischoff: Selected Drawings,,,Elmer Bischoff,"March 18-May 4, 1975",Theater Gallery,Jerrold Ballaine,,,,,,,,
144,"Corot, Daubigny, Delacroix, Millet, Rousseau: Clichés-Verre",,,,"March 3-May 11, 1975",Theater Gallery,Joy Feinberg,,,,,,,,
145,Both Kinds: Contemporary Art from Los Angeles,,,Natalie Bieser;Richard Jackson;Ron Linden;Ann McCoy;Alexis Smith;Guy Williams,"April 1-May 18, 1975","Galleries 1, 2",Staff,Peter Plagens,,,,,,,
146,Ike no Taiga and His Circle,,,Ike no Taiga,"April 15-June 22, 1975",Gallery 3,Staff,Professor James Cahill,,,,,,,
147,Two Photographers: Nacio Jan Brown and Steve Fitch,,,,"May 29-June 29, 1975",Theater Gallery,Carlos Gutierrez-Solana,,,,,,,,
148,M.F.A. Candidates from Berkeley,,,Roff Barnett;Carol Fremlin;Ray Holbert;Glenn Jampol;David Lurie;Rudy Serra;Tony Wong,"June 3-22, 1975","Gallery 2, D",Staff,,,,,,,,
149,"Kertesz, Rodchenko, Moholoy-Nagy: Photographs",,,,"June 10-June 20, 1975",Gallery 1,Staff,"The Museum of Modern Art, New York",,,,,,,
150,Chinese Painting from the Collection,,,,"July 1-October 5, 1975",Gallery 3,Staff,Professor James Cahill,,,,,,,
151,Summer ‘75: Group Show ,,,Nancy Blanchard;Carl Dern;Bruce Lauritzen;Mike Roddy;Alan Scarritt;Susan Whyne,"July 8- September 7, 1975",Gallery 2,"Carlos Gutierrez-Solana, Joy Feinberg, and Jerrold Ballaine",,,,,,,,
152,Performance/Art/Artists/Performers ,,,Dan Ake;Richard Alpert;Kevin Costello;John Gillen;Alan Goodman;Daniel Kelly;Barbara Howard;Madelaine Shellaby;Reese Williams;David Lurie;Linda Montano;Bill Morison;Motion: The Women’s Performing Collective;Jani Novak;Darryl Sapien;Alan Scarritt;Gene Turitz;Peter Veres;Kenneth Werner;Reese Williams;John Woodall,"June 8-September 4, 1975",Gallery A,Carlos Gutierrez-Solana,,,,,,,,
153,Emma Michalitschke: Paintings from the Collection,,,Emma Michalitschke,"July 29-August 31, 1975",Gallery 1,Joy Feinberg,,,,,,,,
154,Contemporary Sculpture from the Collection,,,,"September 23-November 16, 1975",Gallery 1,Joy Feinberg,,,,,,,,
155,African Art from the Lowie Museum,,,,"September 23-November 16, 1975","Galleries C, D",Staff,William Bascom,,,,,,,
156,J.M.W. Turner: Works on Paper from American Collections,,,J. M. W. Turner,"September 30-November 23, 1975",Gallery 2,Joseph Goldyne,,,,,,,,
157,Histoire Ancienne: 50 Prints by Honore Daumier,,,Honore Daumier,"October 7-November 9, 1975",Theater Gallery,Staff,Washington State University Art Museum,,,,,,,
158,A Flower for Every Season: Japanese Paintings from the C.D. Carter Collection,,,,"October 21-December 7, 1975",Gallery 3,Staff,The Brooklyn Museum,,,,,,,
159,Four Centuries of Scenic Invention: Drawings from the Collection of Donald Oenslager,,, Donald Oenslager,"November 8-December 14, 1975",Gallery 1,Staff,International Exhibitions Foundation,,,,,,,
160,Carol Tranter: Recent Works,,,Carol Tranter,"November 25, 1975- January 4, 1976",Theater Gallery,Carlos Gutierrez-Solana,,,,,,,,
161,Russian Icons: A Continuing Tradition,,,,"December 2, 1975-January 25, 1976",Gallery C,Staff,Irina Barnes,,,,,,,
162,Anders Zorn: Etchings,,,Anders Zorn,"December 23, 1975-January 18, 1976",Gallery C,Staff,,,,,,,,
421,John Chamberlain / MATRIX 114,,,John Chamberlain,"January 15-March 15, 1988",Gallery 1,Constance Lewallen,"Karen Tsujimoto, guest curator",,,"Brochure, essay by Karen Tsujimoto",,,,
422,John Graham: Artist and Avatar,,,John Graham,"January 20-March 20, 1988","Galleries 3, 4",Sidra Stich,"Organized by The Phillips Collection, Washington, Eleanor Green, guest curator",,Catalog,,,,,
423,The Starn Twins / MATRIX 115,,,Starn Twins,"March 15-May 15, 1988",Gallery 1,Sidra Stich,,,,Brochure,,,,
