Play Date,Showtime One,Showtime Two,Film Series,Film Screening Title / Odds and Ends,Film Title,Alternate Title,Long Description,Film Note Author,Film Note Author Title,Legacy Credits,Director,Screenwriter,Cinematographer,Cast/With,Country,Film Year,Film Run Time,Print Source,Permission,In Person Guest,Location,,,,,,,,,,Short Description
2/6/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (3); Women from Kenya & Women from California; Erwin Leiser in Person! ,Women from Kenya,,"Women from Kenya is a section from Leiser’s film Women in the Third World which dealt with the situation of women in developing countries, where the double burden of work and male oppression stands out, despite theoretical equal rights. Women from California is a section of Leiser’s Because They Are Women, a man’s film about the women’s movement in France, Holland, Hungary, and the USA. Both films were written and directed by Erwin Leiser, with the collaboration of Vera Leiser. (1977, total running time of two sections 60 mins, color, English narration)",,,"Both films were written and directed by Erwin Leiser, with the collaboration of Vera Leiser. (1977, total running time of two sections 60 mins, color, English narration)",Erwin Leiser,Erwin Leiser,,,,1977,,,,Erwin Leiser,PFA Theater,,,,,,,,,,
2/6/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (3); Women from Kenya & Women from California; Erwin Leiser in Person! ,Women from California,,"Women from Kenya is a section from Leiser’s film Women in the Third World which dealt with the situation of women in developing countries, where the double burden of work and male oppression stands out, despite theoretical equal rights. Women from California is a section of Leiser’s Because They Are Women, a man’s film about the women’s movement in France, Holland, Hungary, and the USA. Both films were written and directed by Erwin Leiser, with the collaboration of Vera Leiser. (1977, total running time of two sections 60 mins, color, English narration)",,,"Both films were written and directed by Erwin Leiser, with the collaboration of Vera Leiser. (1977, total running time of two sections 60 mins, color, English narration)",Erwin Leiser,Erwin Leiser,,,,1977,,,,Erwin Leiser,PFA Theater,,,,,,,,,,
2/6/1978,9:30 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",Emitai; Ousmane Sembene in Person!,Emitai,,"Emitai takes place in a village of the Diolas in the south of Senegal at the end of the Second World War. The conflict between the French soldiers, who want rice, and the villagers, who have a natural reluctance to starve to death, is told entirely from the tribal viewpoint rather than from outside. The effect is remarkable. —National Film Theatre of London.
Written and Directed by Ousmane Sembene. With Robert Fontaine, Michel Renaudeau, Pierre Blanchard, Ibou Camara, Ousmane Camara. (1972, 101 mins, color, 35 mm, English titles, Print Courtesy of New Yorker)",National Film Theatre of London,,"Written and Directed by Ousmane Sembene. With Robert Fontaine, Michel Renaudeau, Pierre Blanchard, Ibou Camara, Ousmane Camara. (1972, 101 mins, color, 35 mm, English titles, Print Courtesy of New Yorker)",Ousmane Sembene,Ousmane Sembene,,"Robert Fontaine, Michel Renaudeau, Pierre Blanchard, Ibou Camara, Ousmane Camara",,1972,101,New Yorker,,Ousmane Sembene,PFA Theater,,,,,,,,,,
2/7/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (4); Victims of Violence & This World Is Not for Children; Erwin Leiser in Person!,Victims of Violence,,"Victims of Violence provides members of New York youth gangs and “problem kids” with an opportunity for self-presentation before the camera. A film by Erwin Leiser. (1972, color, 25 mins, English narration)
This World Is Not for Children, according to Leiser, tries to answer the questions: “Into what sort of world are children born today? How do they see this world? What is done for them? What should be done? From the dry statistics of population growth and the threat to children from hunger and malnutrition the film tries to spotlight some individual stories and let the children themselves have the word. It shows New York through the eyes of a Puerto Rican child and Bombay from the perspective of a family that lives on the street. It shows how, in Mexico City, homeless children are picked up and how street boys in Bogota and Calcutta organize themselves in order not to starve. It shows children who are exploited as cheap labor and children who grow up under the control of an age-old tradition.” 
Written and Directed by Erwin Leiser. Photographed by Willy Kurant and Bertram van Munster. (1972, 50 mins, color, English narration)",,,"A film by Erwin Leiser. (1972, color, 25 mins, English narration)",Erwin Leiser,,,,,1972,25,,,Erwin Leiser,PFA Theater,,,,,,,,,,
2/7/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (4); Victims of Violence & This World Is Not for Children; Erwin Leiser in Person!,This World Is Not for Children ,,"Victims of Violence provides members of New York youth gangs and “problem kids” with an opportunity for self-presentation before the camera. A film by Erwin Leiser. (1972, color, 25 mins, English narration)
This World Is Not for Children, according to Leiser, tries to answer the questions: “Into what sort of world are children born today? How do they see this world? What is done for them? What should be done? From the dry statistics of population growth and the threat to children from hunger and malnutrition the film tries to spotlight some individual stories and let the children themselves have the word. It shows New York through the eyes of a Puerto Rican child and Bombay from the perspective of a family that lives on the street. It shows how, in Mexico City, homeless children are picked up and how street boys in Bogota and Calcutta organize themselves in order not to starve. It shows children who are exploited as cheap labor and children who grow up under the control of an age-old tradition.” 
Written and Directed by Erwin Leiser. Photographed by Willy Kurant and Bertram van Munster. (1972, 50 mins, color, English narration)",,,"Written and Directed by Erwin Leiser. Photographed by Willy Kurant and Bertram van Munster. (1972, 50 mins, color, English narration)",Erwin Leiser,Erwin Leiser,Willy Kurant and Bertram van Munster,,,1972,50,,,Erwin Leiser,PFA Theater,,,,,,,,,,
2/7/1978,9:15 PM,,"Senegal: Fifteen Years of an African Cinema, 1962–1977",Xala; Ousmane Sembene in Person!,Xala,,"One of the most sophisticated works of the new African cinema—at once both comic satire and a deadly accurate polemic against the black bourgeoisie of Dakar. An elderly bureaucrat, El Hadj Aboubakar Baye by name, has become rich, corrupt and complacent as one of the money-hungry ministers of commerce. Not only does he possess a thriving private business, a new Mercedes-Benz (washed only with bottled Evian) but two wives as well. It is El Hadj’s decision to take a young woman as a third wife that engulfs him in lively complications of the plot. His children by the first wife are outraged by the humiliation to their mother; the second wife, a modern glamor girl, is seemingly more interested in the arrangement of her Afro-coiffure and material possessions than anything else. As for the child bride’s family, they imagine themselves black versions of the French “haut monde.” Sembene introduces the problem of El Hadj’s sudden impotence as a dramatic surprise, and when the luckless hero seeks a cure for this “Xala,” the ancient codes and customs of Senegalese life clash violently with the present, leading to a shocking and memorable climax. Symbol and reality merge, with touches reminiscent of Bunuel: one suddenly realizes that in Senegal, perhaps, the prisoners are happier than the peasants. —Albert Johnson  
Written and Directed by Ousmane Sembene, adapted from his own novel. With Thierno Leye, Seum Samb, Seye, Dieynaba Dieng. (1975, 123 mins, 35mm, Color, In Wolof and French with English titles, Print Courtesy of New Yorker Films)",Albert Johnson ,,"Written and Directed by Ousmane Sembene, adapted from his own novel. With Thierno Leye, Seum Samb, Seye, Dieynaba Dieng. (1975, 123 mins, 35mm, Color, In Wolof and French with English titles, Print Courtesy of New Yorker Films)",Ousmane Sembene,Ousmane Sembene,,"Thierno Leye, Seum Samb, Seye, Dieynada Dieng",,1975,123,New Yorker Films,,Ousmane Sembene,PFA Theater,,,,,,,,,,
2/8/1978,7:00 PM,,The Films of Yasujiro Ozu & The Family in Japanese Cinema,,Early Summer ,Bakushu,"“Six family members live together in Kamakura. At the end, the daughter agrees to marry and the family is dissolved.” In this film, Ozu became less interested in a “story” as such and more in what he could achieve through observation, atmosphere, and meticulous direction of the players’ characteristics. As Richie comments, “it became increasingly possible to compress the story into a one-line description, though to do so gives no indication of the film’s enormous emotional power.” —John Gillett 
Directed by Yasujiro Ozu. Screenplay by Ozu and Kogo Noda. With Setsuko Hara, Ichiro Sugai, Chieko Higashiyama, Chishu Ryu. (1951, 135 mins, 35mm, English titles, Print from PFA Collection)",John Gillett ,,"Directed by Yasujiro Ozu. Screenplay by Ozu and Kogo Noda. With Setsuko Hara, Ichiro Sugai, Chieko Higashiyama, Chishu Ryu. (1951, 135 mins, 35mm, English titles, Print from PFA Collection)",Yasujiro Ozu,Ozu and Kogo Noda,,"Setsuko Hara, Ichiro Sugai, Chieko Higashiyama, Chishu Ryu",,1951,135,PFA Collection,,,PFA Theater,,,,,,,,,,
2/8/1978,9:30 PM,,The Films of Yasujiro Ozu & The Family in Japanese Cinema,,Lightning,Inazuma ,"Based on Fumiko Hayashi’s novel, this is a story of Tokyo’s “downtown” poor. Osei (Kumeko Urabe) has four children, all born of different fathers. Seen from the point of view of the youngest, Kiyoko (Hideko Takamine), the oldest daughter is an egotist, the second has no sense of independence, the only son is an idiot, and her love for her family has almost exhausted itself. But these characters’ faults are unfolded simply and unaffectedly, making one feel sentimental at the same time one sees how unbearable they are. This is one extreme of the art of Naruse—to bring true depth of feeling to the description of the banal. Directed by Mikio Naruse. Screenplay by Sumie Tanaka. Also with Mitsuko Miura, Chieko Murata, Osumu Maruyama. (1952, Daiei, 87 mins, 35mm, English titles)",,,"Directed by Mikio Naruse. Screenplay by Sumie Tanaka. Also with Mitsuko Miura, Chieko Murata, Osumu Maruyama. (1952, Daiei, 87 mins, 35mm, English titles)",Mikio Naruse,Sumie Tanaka,,"Mitsuko Miura, Chieko Murata, Osumu Maruyama",,1952,87,,,,PFA Theater,,,,,,,,,,
2/8/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (5); Documents of the Third Reich; Erwin Leiser in Person!; Admission $2.00,Mein Kampf,,"Produced in Sweden, Mein Kampf—A Blueprint for the Age of Chaos was written and assembled by Erwin Leiser. It is a sobering, often shocking account of the origin, ascendancy, and destruction of Adolf Hitler and the Third Reich. According to Leonard Rubinstein, in his essay “ Fascism Revisited”: “Erwin Leiser’s Mein Kampf is probably the best general approach to the problem of Nazi Germany, with an able historical view that is not overbearingly dramatic. Although the roots of Teutonic fascism may lie in the formation of Prussia as a military state by Frederick I, it seems safer to begin, as Leiser does, with the 1914–1918 war which destroyed monarchist and upper-middle-class Europe.” (1960, 119 mins, English narration)
Wake Up, Germany! (Deutschland, erwache!)
Originally shown on West German TV in 1968, Erwin Leiser’s Wake Up, Germany! is a compilation film made up of sequences from feature films produced during the Third Reich. Leiser has skillfully assembled this material around one theme: propaganda in the film of Nazi Germany. In the preface to his book Nazi Cinema, written as a supplement to Wake Up, Germany! (and available in English from Collier Books), Leiser states: “My film was confined to showing the use of feature films in the openly political propaganda programme of the Third Reich. The totalitarian system’s abuse of the mass media demonstrates just how necessary is the democratic social structure and the right to freedom of information which that system opposes . . . .
“There is very little commentary, and only occasionally are the distortions which these films make juxtaposed with the truth. These sequences, which I have classified as propaganda and arranged in some kind of order, are in themselves enough to expose the workings of National Socialist propaganda. To have presented them more explicitly would only have prompted some kind of emotional reaction, and might thereby have activated in many viewers a defense mechanism and a readiness to suppress the truth. Because things are left unsaid in the film, the viewer is placed in an emotional vacuum and obliged to adopt a personal, critical attitude towards the material. It is thus impossible for an audience to identify unthinkingly with either the propaganda contained in the film sequences or with my own comments. No value judgments are made; this is left to the viewer. There is no mention of names, since it is the subject which is important. The material must be judged in a contemporary light.” 
Written and Directed by Erwin Leiser. Produced for Norddeutsches Rundfunk. (1968, 90 mins, English narration)",,,"(1960, 119 mins, English narration)",Erwin Leiser,,,,,1960,119,,,Erwin Leiser,Wheeler Auditorium ,,,,,,,,,,
2/8/1978,7:30 PM,,The Films of Erwin Leiser,The Films of Erwin Leiser (5); Documents of the Third Reich; Erwin Leiser in Person!; Admission $2.00,"Wake Up, Germany!","Deutschland, erwache!","Produced in Sweden, Mein Kampf—A Blueprint for the Age of Chaos was written and assembled by Erwin Leiser. It is a sobering, often shocking account of the origin, ascendancy, and destruction of Adolf Hitler and the Third Reich. According to Leonard Rubinstein, in his essay “ Fascism Revisited”: “Erwin Leiser’s Mein Kampf is probably the best general approach to the problem of Nazi Germany, with an able historical view that is not overbearingly dramatic. Although the roots of Teutonic fascism may lie in the formation of Prussia as a military state by Frederick I, it seems safer to begin, as Leiser does, with the 1914–1918 war which destroyed monarchist and upper-middle-class Europe.” (1960, 119 mins, English narration)
Wake Up, Germany! (Deutschland, erwache!)
Originally shown on West German TV in 1968, Erwin Leiser’s Wake Up, Germany! is a compilation film made up of sequences from feature films produced during the Third Reich. Leiser has skillfully assembled this material around one theme: propaganda in the film of Nazi Germany. In the preface to his book Nazi Cinema, written as a supplement to Wake Up, Germany! (and available in English from Collier Books), Leiser states: “My film was confined to showing the use of feature films in the openly political propaganda programme of the Third Reich. The totalitarian system’s abuse of the mass media demonstrates just how necessary is the democratic social structure and the right to freedom of information which that system opposes . . . .
“There is very little commentary, and only occasionally are the distortions which these films make juxtaposed with the truth. These sequences, which I have classified as propaganda and arranged in some kind of order, are in themselves enough to expose the workings of National Socialist propaganda. To have presented them more explicitly would only have prompted some kind of emotional reaction, and might thereby have activated in many viewers a defense mechanism and a readiness to suppress the truth. Because things are left unsaid in the film, the viewer is placed in an emotional vacuum and obliged to adopt a personal, critical attitude towards the material. It is thus impossible for an audience to identify unthinkingly with either the propaganda contained in the film sequences or with my own comments. No value judgments are made; this is left to the viewer. There is no mention of names, since it is the subject which is important. The material must be judged in a contemporary light.” 
Written and Directed by Erwin Leiser. Produced for Norddeutsches Rundfunk. (1968, 90 mins, English narration)",,,"Written and Directed by Erwin Leiser. Produced for Norddeutsches Rundfunk. (1968, 90 mins, English narration)",Erwin Leiser,Erwin Leiser,,,,1968,90,,,Erwin Leiser,Wheeler Auditorium ,,,,,,,,,,
2/9/1978,4:00 PM,,Yvette Biro Presents Contemporary Eastern European Cinema,Admission Free,The Round Up,,"Miklos Jancso’s first film to gain international attention, The Round Up (1965) deals with the diabolical entrapment and destruction by psychological and physical torture of a group of 1848 Hungrian nationalists in revolt against the Austro-Hungarian empire. According to Amos Vogel: “A poisonous lyricism—anti-romantic and reflective of the truths of the 20th century—permeates his inexplicable charades of inexorable cruelty, submission, betrayal, and repression, in which victims and oppressors constantly change places and no one remains uncorrupted by the exercise of violence. Beginning with Round Up, his best, Jancso’s stylized tragic-epic works have all concerned themselves with the problems of power and oppression, in images of searing plastic beauty and in sequences of implacable violence and terror set against ominous, brilliant landscapes of the most cruel black and white. These are visual metaphors of truths better expressed obliquely, the anguished statements of a pessimistic humanist haunted by the problem of totalitarianism, war, and the corruption of power.”
Directed by Miklos Jancso. Screenplay by Gyula Hernadi. Photographed by Tmas Somlo. With Janos Gorbe, Tibor Molnor, Andras Kozak. (Hungary, 1965, 89 mins, 35mm, English titles, Print Courtesy of Audio Brandon)",,,"Directed by Miklos Jancso. Screenplay by Gyula Hernadi. Photographed by Tmas Somlo. With Janos Gorbe, Tibor Molnor, Andras Kozak. (Hungary, 1965, 89 mins, 35mm, English titles, Print Courtesy of Audio Brandon)",Miklos Jancso,Gyula Hernadi,Tmas Somlo,"Janos Gorbe, Tibor Molnor, Andras Kozak",Hungary,1965,89,Audio Brandon,,,PFA Theater,,,,,,,,,,
2/9/1978,7:30 PM,,,Special Preview Screening! That's My Advice to You; Mitchell Block in Person!,That's My Advice to You,,"Mitchell Block, director of the award-winning “docu-drama” on rape, No Lies, and professor of film production and criticism at California State University at Fullerton, will appear with his latest film, still a work-in-progress (we will be projecting the film in double system), in a special preview screening. It is hoped that this will provide an opportunity for filmmaker and audience to exchange ideas which might contribute to the film’s completion, and involve the viewer in the filmmaking process. Appropriately, That’s My Advice to You deals with the process of becoming a feature film director in Hollywood and in so doing, presents a realistic portrait of a complex and difficult industry in all its parts. Presented in a series of revealing interviews, the cast includes such Hollywood notables as director Martin Brest (Hot Tomorrows); director Roger Corman, president of New World Pictures; TV director Joan Darling (Mary Hartman, MASH and feature film First Love); director/writer Samuel Fuller (Pickup on South Street, Steel Helmet, The Big Red One); director Jonathan Kaplan (White Line Fever, Mr. Billion); agent Robert Littman (Ken Russell, Nicholas Roeg, Gene Wilder); Mike Medavoy, senior vice president of United Artists; director/writer John Milius (Dillinger, Dirty Harry, The Wind and The Lion); producer Julia Phillips (Taxi Driver, The Sting); director Steven Spielberg (Jaws, Close Encounters of the Third Kind); agent Harry Ufland (Martin Scorsese, Jonathan Kaplan, Martin Brest, Robert DeNiro); director King Vidor (Our Daily Bread, The Crowd, Hallelujah, Duel in the Sun). Award-winning independent filmmaker Linda Feferman (Liz Swados: The Girl with the Incredible Feeling) is the interviewer who also portrays someone trying to break into feature film direction. What is particularly interesting about Mitchell Block’s work is his combined use of cinema-verite techniques and staged or scripted action. In No Lies this created the illusion of a documentary film. Block describes That’s My Advice to You as “a real documentary that is staged” as opposed to a “staged documentary that is real” (for example, Block’s 20-minute sequel to No Lies, shortly to be completed and hopefully a surprise addition to tonight’s program). 
Produced, Directed by Mitchell W. Block. Assoc. Producers: Gary Drucker, Rick Shaffran, Ronnie Mellon. Director of Photography: Irv Goodnof. First Asst. Cameraman: Wilfred Boyne. N.Y. Director of Photography: Joseph F. Coffey. Film Editor: Ray Anne School. Sound Mixers: Anne Hadsel and Claudia Queen. N.Y. Production Coordinator: Ray Anne School. Graphics: Vincent Carra. Stills: Ronnie Mellon. (1978, 92 mins, color, Print Courtesy of filmmaker)",,,"Produced, Directed by Mitchell W. Block. Assoc. Producers: Gary Drucker, Rick Shaffran, Ronnie Mellon. Director of Photography: Irv Goodnof. First Asst. Cameraman: Wilfred Boyne. N.Y. Director of Photography: Joseph F. Coffey. Film Editor: Ray Anne School. Sound Mixers: Anne Hadsel and Claudia Queen. N.Y. Production Coordinator: Ray Anne School. Graphics: Vincent Carra. Stills: Ronnie Mellon. (1978, 92 mins, color, Print Courtesy of filmmaker)",Mitchell W. Block,,Irv Goodnof,,,1978,92,filmmaker,,Mitchell Block ,PFA Theater,,,,,,,,,,
2/9/1978,9:45 PM,,The Films of John Ford,The Films of John Ford (22),They Were Expendable ,,"They Were Expendable, written for the screen by Service tragedian Frank “Spig” Wead, is one of Ford’s most complex and rewarding pictures. Long, slow-paced, fluid, evocative and understated, its cumulative impact is stunning. The battle sequences are the most pyrotechnic ever made, more like dreams of combat than actual firefighters, but the film’s best moments lie between the battles: the woman singing “My Country ‘Tis of Thee” in a night club as the squadron, just having heard about Pearl Harbor, files out in horror; the brief romance between John Wayne and Donna Reed, ended by a broken phone connection as final as death; Robert Montgomery’s farewell to his doomed squadron, “You older men . . . take care of the kids.” It’s the moment-to-moment texture of the film that makes it great. As James Agee wrote, “For what seems at least half of the length of They Were Expendable, all you have to watch is men getting on or off PT boats, and other men watching them do so. But this is made so beautiful and so real that I could not feel one foot of film was being wasted.”
I have only seen They Were Expendable once, and I’m looking forward with terrific anticipation to seeing it again. I suspect it may be one of Ford’s ultimate masterpieces, along with The Man Who Shot Liberty Valance, The Sun Shines Bright, She Wore a Yellow Ribbon. We’ll see. That’s what this series is for. —Michael Goodwin
Directed by John Ford. Produced by John Ford. Screenplay by Frank W. Wead, from book by William L. White. Photography by Joseph H. August. Second-unit Director James C. Havens. Rear-projection plates by Robert Montgomery. Also with: Jack Holt, Ward Bond, Jeff York. (1945, 136 mins, MGM, Print Courtesy of Films Inc.)",Michael Goodwin,,"Directed by John Ford. Produced by John Ford. Screenplay by Frank W. Wead, from book by William L. White. Photography by Joseph H. August. Second-unit Director James C. Havens. Rear-projection plates by Robert Montgomery. Also with: Jack Holt, Ward Bond, Jeff York. (1945, 136 mins, MGM, Print Courtesy of Films Inc.)",John Ford,Frank W. Wead,Joseph H. August,"Jack Holt, Ward Bond, Jeff York",,1945,136,Films Inc.,MGM,,PFA Theater,,,,,,,,,,
2/10/1978,4:00 PM,,,Two Flims by Stig Bjorkman: Ingmar Bergman & The White Wall; Stig Bjorkman in Person!; Admission $1.00,Ingmar Bergman,,"Ingmar Bergman is critic/filmmaker Stig Bjorkman’s portrait of Ingmar Bergman at work on The Touch, showing the evolution of sequences in that film, and containing a long interview with Bergman as well as discussions with members of Bergman’s cast and crew. Produced by the Swedish Film Institute. Directed by Stig Bjorkman. With Ingmar Bergman, Sven Nykvist, Bibi Andersson, Elliott Gould, Max Von Sydow. (1972, 50 mins, English narration, color, print courtesy of Films Inc.)
The White Wall, Stig Bjorkman’s prize-winning feature, gained this notice from Peter Cowie in the International Film Guide: “This featurette, the screen equivalent of a short story, contains one of the year’s best performances. Harriet Andersson plays the lonely, deserted wife, Monika Larsson, with a striking range of emotions, from coolness and despair to warmth and humour. The film describes a typical day in the life of the emancipated Scandinavian women. Walking beside a strange man, applying fruitlessly for a job, trying to contact her vagrant husband, going to a gloomy dance hall with a friend . . . It is a plaintive movie, almost a documentary on the individual at odds with the smooth, gleaming contours of social democracy.” 
Direction, script and editing by Stig Bjorkman. Photography: Petter Davidsson. Editing: Margit Nordquist. Music: S. O. Walldorf. Also with Lena Nyman, Sven Wollter, Tomas Ponten. (1975, 75 mins, color, English titles, Print Courtesy of Audio Brandon)",,,"Produced by the Swedish Film Institute. Directed by Stig Bjorkman. With Ingmar Bergman, Sven Nykvist, Bibi Andersson, Elliott Gould, Max Von Sydow. (1972, 50 mins, English narration, color, print courtesy of Films Inc.)",Stig Bjorkman,,,"Ingmar Bergman, Sven Nykvist, Bibi Andersson, Elliott Gould, Max Von Sydow",,1972,50,Films Inc.,,Stig Bjorkman,PFA Theater,,,,,,,,,,
2/10/1978,4:00 PM,,,Two Flims by Stig Bjorkman: Ingmar Bergman & The White Wall; Stig Bjorkman in Person!; Admission $1.00,The White Wall,,"Ingmar Bergman is critic/filmmaker Stig Bjorkman’s portrait of Ingmar Bergman at work on The Touch, showing the evolution of sequences in that film, and containing a long interview with Bergman as well as discussions with members of Bergman’s cast and crew. Produced by the Swedish Film Institute. Directed by Stig Bjorkman. With Ingmar Bergman, Sven Nykvist, Bibi Andersson, Elliott Gould, Max Von Sydow. (1972, 50 mins, English narration, color, print courtesy of Films Inc.)
The White Wall, Stig Bjorkman’s prize-winning feature, gained this notice from Peter Cowie in the International Film Guide: “This featurette, the screen equivalent of a short story, contains one of the year’s best performances. Harriet Andersson plays the lonely, deserted wife, Monika Larsson, with a striking range of emotions, from coolness and despair to warmth and humour. The film describes a typical day in the life of the emancipated Scandinavian women. Walking beside a strange man, applying fruitlessly for a job, trying to contact her vagrant husband, going to a gloomy dance hall with a friend . . . It is a plaintive movie, almost a documentary on the individual at odds with the smooth, gleaming contours of social democracy.” 
Direction, script and editing by Stig Bjorkman. Photography: Petter Davidsson. Editing: Margit Nordquist. Music: S. O. Walldorf. Also with Lena Nyman, Sven Wollter, Tomas Ponten. (1975, 75 mins, color, English titles, Print Courtesy of Audio Brandon)",,,"Direction, script and editing by Stig Bjorkman. Photography: Petter Davidsson. Editing: Margit Nordquist. Music: S. O. Walldorf. Also with Lena Nyman, Sven Wollter, Tomas Ponten. (1975, 75 mins, color, English titles, Print Courtesy of Audio Brandon)",Stig Bjorkman,Stig Bjorkman,Petter Davidsson,"Lena Nyman, Sven Wollter, Tomas Ponten",,1975,75,Audio Brandon,,Stig Bjorkman,PFA Theater,,,,,,,,,,
2/10/1978,7:00 PM,9:45 PM,,Two Films from South Africa! Boesman and Lena & Last Grave at Dimbaza,Boesman and Lena,,"Our American Premiere screening of Boesman and Lena in 1975, with the superb documentary Last Grave at Dimbaza, generated the following response from the San Francisco Chronicle’s critic, Judy Stone: “A stunning double-barreled dramatic and documentary indictment of South American racism . . . Boesman and Lena, Athol Fugard’s compelling portrayal of displaced Cape Coloreds, and Last Grave at Dimbaza, a powerful, low-key British documentary that was made secretly for the World Council of Churches and smuggled out of South Africa. While Fugard’s film brilliantly reaffirms the resilience of the human spirit even in the lowest depths of existence, the documentary is a chilling and shameful reminder of man’s inhumanity to man . . . Boesman and Lena, based on Fugard’s hit play, stars the white South African playwright as the Cape Colored Boesman, a cringing sycophant with white power figures and a brutal bully with Lena, his wife. He does a marvelously swarmy toadying dance when bulldozers crush out the miserable shacks of their shantytown. As the two trudge through the barren wastelands, looking for another place to pitch their pitiful sheet metal roof, Lena changes from a clinging shadow to an almost independent person. 
“It is a beautifully controlled transformation by Yvonne Bryceland. This inarticulate woman who doesn’t know who or what or where she is, trapped in the whirlpool of Boesman’s fury, begins to come alive when a nearly dead old Kaffir stumbles onto their beach shelter. She pours out the story of her suffering before the dazed black man, to the intense disgust of Boesman, who would treat Kaffir as the whites treat him. “The work is a tour-de-force. Fugard’s writing, almost as spare as Beckett’s, captures the most complex nuance of life under apartheid. The beautiful cinematography conveys the sweeping vistas of South Africa, eloquently contrasting it to the cramped lives of Boesman and Lena. Miss Bryceland is magnetic whether she is huddled under the black sky, swooping and cawing like a seagull, rolling into a mocking dance or mimicking Boesman’s acts of obeisance.”
Last Grave at Dimbaza (To be shown first at 7:00 and 9:45)
Directed by Nana Mahomo. (1975, 55 mins, color, Print Courtesy of Tricontinental Films). 
Boesman and Lena
Directed by Ross Devinish. Screenplay by Athol Fugard, based on his own play. Also with Sandy Tube. (1973, 100 mins, color, Print Courtesy of New Yorker Films) ",,,"Directed by Ross Devinish. Screenplay by Athol Fugard, based on his own play. Also with Sandy Tube. (1973, 100 mins, color, Print Courtesy of New Yorker Films)",Ross Devinish,Athol Fugard,,Sandy Tube,,1973,100,New Yorker Films,,,PFA Theater,,,,,,,,,,
2/10/1978,7:00 PM,9:45 PM,,Two Films from South Africa! Boesman and Lena & Last Grave at Dimbaza,Last Grave at Dimbaza,,"Our American Premiere screening of Boesman and Lena in 1975, with the superb documentary Last Grave at Dimbaza, generated the following response from the San Francisco Chronicle’s critic, Judy Stone: “A stunning double-barreled dramatic and documentary indictment of South American racism . . . Boesman and Lena, Athol Fugard’s compelling portrayal of displaced Cape Coloreds, and Last Grave at Dimbaza, a powerful, low-key British documentary that was made secretly for the World Council of Churches and smuggled out of South Africa. While Fugard’s film brilliantly reaffirms the resilience of the human spirit even in the lowest depths of existence, the documentary is a chilling and shameful reminder of man’s inhumanity to man . . . Boesman and Lena, based on Fugard’s hit play, stars the white South African playwright as the Cape Colored Boesman, a cringing sycophant with white power figures and a brutal bully with Lena, his wife. He does a marvelously swarmy toadying dance when bulldozers crush out the miserable shacks of their shantytown. As the two trudge through the barren wastelands, looking for another place to pitch their pitiful sheet metal roof, Lena changes from a clinging shadow to an almost independent person. 
“It is a beautifully controlled transformation by Yvonne Bryceland. This inarticulate woman who doesn’t know who or what or where she is, trapped in the whirlpool of Boesman’s fury, begins to come alive when a nearly dead old Kaffir stumbles onto their beach shelter. She pours out the story of her suffering before the dazed black man, to the intense disgust of Boesman, who would treat Kaffir as the whites treat him. “The work is a tour-de-force. Fugard’s writing, almost as spare as Beckett’s, captures the most complex nuance of life under apartheid. The beautiful cinematography conveys the sweeping vistas of South Africa, eloquently contrasting it to the cramped lives of Boesman and Lena. Miss Bryceland is magnetic whether she is huddled under the black sky, swooping and cawing like a seagull, rolling into a mocking dance or mimicking Boesman’s acts of obeisance.”
Last Grave at Dimbaza (To be shown first at 7:00 and 9:45)
Directed by Nana Mahomo. (1975, 55 mins, color, Print Courtesy of Tricontinental Films). 
Boesman and Lena
Directed by Ross Devinish. Screenplay by Athol Fugard, based on his own play. Also with Sandy Tube. (1973, 100 mins, color, Print Courtesy of New Yorker Films) ",,,"Directed by Nana Mahomo. (1975, 55 mins, color, Print Courtesy of Tricontinental Films).",Nana Mahomo,,,,,1975,55,Tricontinental Films,,,PFA Theater,,,,,,,,,,
